X,Y,FID,NAME,ADDRESS,ADDRESS2,CITY,STATE,ZIP,ZIPP4,COUNTY,FIPS,DIRECTIONS,CONTDATE,CONTHOW,GEODATE,GEOHOW,NAICSCODE,NAICSDESCR,GEOLINKID,LONGITUDE,LATITUDE,ST_VENDOR,ST_VERSION,GEOPREC,PHONELOC,QC_QA,STA_NO,UID_,EXTRDATE,VISN,PROV,CONT,PAR_STA_NO,POD,OPER_DATE,SH_PAR_STA,CBOC,RRTP,IOC,MOC,VAMC,VCTR,HBOC,VANH,CD115,PRIM_SVC,ULID,CBSA,UA,URH,UNIQUE_ID,STA_FAX,SHAR,PHONE
-9653721.854,4121621.524,11,VETERANS HEALTH AFFAIRS MADISON / DECATUR,8075 MADISON BOULEVARD,SUITE 101,MADISON,AL,35758,2042,MADISON,1089,LOCATED ON THE SE SIDE OF MADISON BOULEVARD 32 MILES WEST OF ZIERDT ROAD SW,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,127173672,-86.7208589,34.6884396,NAVTEQ,2006Q4,ONENTITY,YES,TGS,521GB,199,3/31/2007 0:00,7,1,L,521,A,9/15/1973 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_AL_0105,CBOC,NW0086720199_0034689087,26620,40780,UA,10314913,(256) 461-0030,NO,(256) 772-6220
-9711067.099,4007704.006,12,VETERANS AFFAIRS JASPER CLINIC,3400 UNITED STATES HIGHWAY 78 EAST,MEDICAL ARTS TOWER BUILDING SUITE 215,JASPER,AL,35501,N/A,WALKER,1127,ON THE NORTH SIDE OF US HIGHWAY 78 EAST 021 MILE NW OF 36TH AVENUE NE AND US HIGHWAY 78 EAST INTERSECTION,9/21/2007 0:00,PHONE,9/21/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,109038617,-87.236,33.84273,NAVTEQ,2006Q4,ONENTITY,YES,TGS,521GF,203,3/31/2007 0:00,7,1,L,521,A,10/27/1998 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_AL_0104,CBOC,NW0087236726_0033841257,13820,42616,RA,10315355,(205) 221-7385,NO,(205) 221-7384
-9382431.602,4735098.121,13,VETERANS AFFAIRS COMMUNITY-BASED OUTPATIENT CLINIC,4355 FERGUSON DRIVE,EASTGATE PROFESSIONAL OFFICE BUILDING SUITE 270,CINCINNATI,OH,45245,5136,CLERMONT,39025,LOCATED ON THE NORTH SIDE OF FREGUSON DRIVE 03 MILES EAST OF AICHOLTZ LANE,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,123567595,-84.2838171,39.0936716,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,539GB,1059,3/31/2007 0:00,10,1,L,539,A,4/1/2002 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_OH_3902,CBOC,NW0084283260_0039093448,17140,16885,UA,10315419,(513) 943-3699,NO,(513) 943-3680
-9081201.883,4867026.914,14,CAMBRIDGE VETERANS AFFAIRS COMMUNITY BASED OUTPATIENT CLINIC,2146 SOUTHGATE PARKWAY,NOT AVAILABLE,CAMBRIDGE,OH,43725,3096,GUERNSEY,39059,LOCATED ON THE SW SIDE OF SOUTHGATE PARKWAY ABOUT 07 MILES NW OF THE LARRICK ROAD AND SOUTHGATE PARKWAY T-INTERSECTION,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,123556798,-81.5778245,40.0074635,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,538GE,1205,3/31/2007 0:00,10,1,L,538,A,10/1/2006 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_OH_3906,CBOC,NW0081576079_0040004799,15740,12862,RA,10315416,(740) 432-5143,NO,(740) 432-1963
-9087022.59,5055622.754,15,LOUIS STOKES VETERANS AFFAIRS MEDICAL CENTER,10000 BRECKSVILLE ROAD,NOT AVAILABLE,BRECKSVILLE,OH,44141,3204,CUYAHOGA,39035,LOCATED ON THE WEST SIDE OF BRECKSVILLE ROAD 23 MILES NORTH OF MILLER ROAD,9/27/2007 0:00,PHONE,10/3/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,127057548,-81.6301128,41.2927781,NAVTEQ,2006Q4,ONENTITY,YES,TGS,541A0,270,3/31/2007 0:00,10,1,V,541,A,10/1/1961 0:00,N/A,0,YES,NO,NO,YES,NO,YES,YES,CD115_OH_3914,VAMC,NW0081627348_0041291413,17460,17668,UA,10315426,(440) 838-6017,NO,(440) 526-3030
-9372851.224,4829259.587,16,DAYTON VETERANS CENTER,627 EDWIN C MOSES BOULEVARD,NOT AVAILABLE,DAYTON,OH,45408,1461,MONTGOMERY,39113,WEST SIDE OF SOUTH EDWIN C MOSES BOULEVARD BETWEEN ALBANY STREET AND SAINT FRANCIS STREET,9/27/2007 0:00,PHONE,10/4/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,46801140,-84.1977551,39.7471019,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,0225V,868,3/31/2007 0:00,10,1,L,552,-,,N/A,0,NO,NO,NO,NO,YES,NO,NO,CD115_OH_3910,VCTR,NW0084204100_0039746500,19380,22528,UA,10314969,(937) 461-4574,NO,(937) 461-9150
-8381667.109,4662037.438,17,MID SUSSEX MEDICAL CENTER,214 WEST DUPONT HIGHWAY,NOT AVAILABLE,MILLSBORO,DE,19966,1719,SUSSEX,10005,ON THE SW SIDE OF WEST DUPONT HIGHWAY 09 MILES SE OF THE OLD LANDING ROAD AND WEST DUPONT HIGHWAY INTERSECTION,9/24/2007 0:00,PHONE,9/24/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,19429460,-75.2937967,38.5824574,NAVTEQ,2006Q4,ONENTITY,YES,TGS,460GA,98,3/31/2007 0:00,4,1,C,460,A,4/1/1998 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_DE_1000,CBOC,NW0075292466_0038581910,42580,57358,RA,10315264,(302) 934-8547,NO,(302) 934-0195
-9354718.047,4024761.141,18,LAWRENCEVILLE VETERANS AFFAIRS COMMUNITY-BASED OUTPATIENT CLINIC,1970 RIVERSIDE PARKWAY NW,NOT AVAILABLE,LAWRENCEVILLE,GA,30043,5937,GWINNETT,13135,"EAST SIDE OF RIVERSIDE PARKWAY NW, 08 MILES SOUTH OF BAILING DRIVE NW",9/25/2007 0:00,PHONE,9/25/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,127187775,-84.034862,33.9699007,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,508GH,1046,3/31/2007 0:00,7,1,L,508,A,6/1/2001 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_GA_1307,CBOC,NW0084035034_0033969925,12060,3817,UA,10315309,(404) 417-1708,NO,(404) 417-1750
-9336697.792,4060325.226,19,OAKWOOD VETERANS AFFAIRS COMMUNITY-BASED OUTPATIENT CLINIC,3931 MUNDY MILL ROAD,SUITE C,OAKWOOD,GA,30566,3413,HALL,13139,"WEST SIDE OF EASTERNMOST MUNDY MILL ROAD, 09 MILES NW OF STATE ROUTE 53",9/24/2007 0:00,PHONE,9/25/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,123748002,-83.8729833,34.2344402,NAVTEQ,2006Q4,ONENTITY,YES,TGS,508GE,650,3/31/2007 0:00,7,1,L,508,A,7/1/1999 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_GA_1309,CBOC,NW0083874330_0034236337,23580,32194,UA,10315307,(404) 728-8229,NO,(404) 728-8210
-9126839.034,3958285.777,20,AUGUSTA VETERANS AFFAIRS MEDICAL CENTER - DOWNTOWN,950 15TH STREET,NOT AVAILABLE,AUGUSTA,GA,30901,2608,RICHMOND,13245,LOCATED ON THE EAST SIDE OF 15TH STREET BETWEEN OSTER LANE AND HARPER STREET,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,118810263,-81.98779,33.47322,NAVTEQ,2006Q4,ONENTITY,YES,TGS,509A0,183,3/31/2007 0:00,7,1,V,509,A,11/22/1920 0:00,N/A,0,YES,NO,NO,YES,NO,YES,YES,CD115_GA_1312,VAMC,NW0082025363_0033468262,12260,4222,UA,10315310,(706) 731-7189,NO,(706) 733-0188
-8200843.056,5073564.186,21,CARMEL VETERANS AFFAIRS COMMUNITY CLINIC,1875 UNITED STATES HIGHWAY 6,WARWICK SAVINGS BANK 2ND FLOOR,CARMEL,NY,10512,N/A,PUTNAM,36079,SW SIDE OF US-6 AT CR-35 INTERSECTION,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,16804663,-73.6694266,41.4137608,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,620GB,642,3/31/2007 0:00,3,1,L,620,A,4/1/1999 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_NY_3618,CBOC,NW0073679329_0041427806,35620,63217,UA,10315037,(845) 228-5295,NO,(845) 228-5291
-7909688.42,5170424.214,22,BROCKTON VETERANS AFFAIRS MEDICAL CENTER,940 BELMONT STREET,VETERANS AFFAIRS BOSTON HEALTH CARE SYSTEM BROCKTON,BROCKTON,MA,2301,5596,PLYMOUTH,25023,LOCATED ON THE SE SIDE OF BELMONT STREET 014 MILES NE OF MANLEY STREET,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,22111410,-71.05394,42.06302,NAVTEQ,2006Q4,ONENTITY,YES,TGS,523A5,14,3/31/2007 0:00,1,1,V,523,A,10/1/1953 0:00,N/A,0,YES,NO,NO,YES,NO,YES,YES,CD115_MA_2508,VAMC,NW0071054704_0042065096,14460,9271,UA,10315359,(774) 826-0014,NO,(508) 583-4500
-8574659.049,4721627.096,23,SILVER SPRINGS VETERANS CENTER,1015 SPRING STREET,SUITE 101,SILVER SPRING,MD,20910,4012,MONTGOMERY,24031,LOCATED ON THE EAST CORNER OF SPRING STREET AND CAMERON COURT,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,18409549,-77.0274728,38.9996895,NAVTEQ,2006Q4,ONENTITY,YES,TGS,0213V,781,3/31/2007 0:00,5,1,L,688,-,,N/A,0,NO,NO,NO,NO,YES,NO,NO,CD115_MD_2408,VCTR,NW0077026391_0038999211,47900,92242,UA,10315095,(301) 588-4882,NO,(301) 589-1073
-8162502.386,4967565.03,24,BABYLON VETERANS CENTER,116 WEST MAIN STREET,NOT AVAILABLE,BABYLON,NY,11702,3437,SUFFOLK,36103,"ENTRANCE IS LOCATED ON THE SOUTH SIDE OF WEST MAIN STREET, ABOUT 04 MILES NE OF SOUTH CARLL AVENUE",9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,21494775,-73.3250065,40.6957304,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,0120V,754,3/31/2007 0:00,3,1,L,632,-,,N/A,0,NO,NO,NO,NO,YES,NO,NO,CD115_NY_3602,VCTR,NW0073325211_0040695799,35620,63217,UA,10315072,(631) 422-5677,NO,(631) 661-3930
-10487681.41,4107840.687,25,MENA COMMUNITY-BASED OUTPATIENT CLINIC,1706 UNITED STATES HIGHWAY 71 NORTH,NOT AVAILABLE,MENA,AR,71953,N/A,POLK,5113,LOCATED ON THE NE SIDE OF US HIGHWAY 71 NORTH AND INDUSTRIAL PARK ROAD,9/21/2007 0:00,PHONE,9/21/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,99884635,-94.2124451,34.5865852,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,598GD,442,3/31/2007 0:00,16,1,C,598,A,6/21/2004 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_AR_0504,CBOC,NW0094198263_0034643426,NONE,N/A,RA,10315002,(479) 394-4805,NO,(479) 394-4800
-12392404.09,4063014.553,26,PAYSON COMMUNITY-BASED OUTPATIENT CLINIC,1106 NORTH BEELINE HIGHWAY,NOT AVAILABLE,PAYSON,AZ,85541,3790,GILA,4007,"LOCATED ON THE WEST SIDE OF NORTH BEELINE HIGHWAY, APPROXIMATELY 03 MILES SW FROM EAST SHERWOOD DRIVE",9/24/2007 0:00,PHONE,9/24/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,122487206,-111.32286,34.2544108,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,644GD,1116,3/31/2007 0:00,18,1,C,644,A,11/4/2003 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_AZ_0404,CBOC,NW0111322665_0034253868,37740,68158,RA,10315018,(928) 472-4501,NO,(928) 472-3148
-12482936.07,4010826.438,27,ANTHEM VETERANS AFFAIRS COMMUNITY-BASED OUTPATIENT CLINIC,3618 WEST ANTHEM WAY,SUITE D 120,ANTHEM,AZ,85086,416,MARICOPA,4013,ENTRANCE LOCATED ON THE NW SIDE OF NORTH GAVILAN PEAK PARKWAY BETWEEN WEST TRIUMPH COURT AND WEST ANTHEM WAY,9/21/2007 0:00,PHONE,9/21/2007 0:00,MANUAL,62149,OTHER OUTPATIENTRANCE CARE CENTERS,112217631,-112.1361226,33.8660237,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,649GD,1113,3/31/2007 0:00,18,1,L,649,A,11/22/2004 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_AZ_0408,CBOC,NW0112135955_0033865748,38060,N/A,RA,10315792,(623) 551-5212,NO,(623) 551-6092
-12533505.54,3946653.149,28,BUCKEYE VETERANS AFFAIRS HEALTH CARE CLINIC,1209 NORTH MILLER ROAD,NOT AVAILABLE,BUCKEYE,AZ,85326,1043,MARICOPA,4013,"ENTRANCE IS LOCATED EAST OF NORTH MILLER ROAD, 10 MILES NE FROM WEST MARICOPA ROAD",9/24/2007 0:00,PHONE,9/24/2007 0:00,MANUAL,62149,OTHER OUTPATIENTRANCE CARE CENTERS,102010596,-112.5903959,33.3860101,NAVTEQ,2006Q4,ONENTITY,YES,TGS,644GC,1118,3/31/2007 0:00,18,1,C,644,A,3/11/2002 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_AZ_0403,CBOC,NW0112590832_0033447193,38060,N/A,RA,10315776,(623) 386-6673,NO,(623) 386-5785
-9079867.708,5087055.037,29,READJUSTMENT COUNSELING SERVICES,2022 LEE ROAD,NOT AVAILABLE,CLEVELAND HEIGHTS,OH,44118,2536,CUYAHOGA,39035,LOCATED ON THE WEST SIDE OF LEE ROAD BETWEEN BERSHIRE ROAD AND YORKSHIRE ROAD,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,28589516,-81.5658394,41.5045842,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,0205V,773,3/31/2007 0:00,10,1,L,541,-,,N/A,0,NO,NO,NO,NO,YES,NO,NO,CD115_OH_3911,VCTR,NW0081565682_0041504533,17460,17668,UA,10315088,(216) 932-1781,NO,(216) 932-8471
-9085195.526,5088344.724,30,LOUIS STOKES DEPARTMENT OF VETERAN AFFAIRS MEDICAL CENTER,10701 EAST BOULEVARD,WADE PARK DIVISION,CLEVELAND,OH,44106,1702,CUYAHOGA,39035,LOCATED ON THE NORTH SIDE OF EAST BOULEVARD BETWEEN EAST 105TH STREET AND EAST 108TH STREET,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,28615887,-81.6137,41.51326,NAVTEQ,2006Q4,ONENTITY,YES,TGS,541,269,3/31/2007 0:00,10,1,V,N/A,A,10/1/1963 0:00,N/A,0,NO,NO,NO,YES,NO,YES,NO,CD115_OH_3911,VAMC,NW0081613367_0041512736,17460,17668,UA,10315425,(216) 421-3217,NO,(216) 791-3800
-10544601.27,3829736.855,31,LONGVIEW VETERANS AFFAIRS OUTPATIENT CLINIC,1205 EAST MARSHALL AVENUE,NOT AVAILABLE,LONGVIEW,TX,75601,5604,GREGG,48183,LOCATED ON THE NORTH SIDE OF EAST MARSHALL AVENUE BETWEEN ALPINE STREET AND NORTH TEAGUE STREET,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,135360196,-94.7237649,32.5046443,NAVTEQ,2006Q4,ONENTITY,YES,TGS,667GC,434,3/31/2007 0:00,16,1,L,667,A,8/31/1999 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_TX_4801,CBOC,NW0094724060_0032503368,30980,51256,UA,10315873,(903) 247-8274,NO,(903) 247-8262
-10904915.33,3448300.183,32,NEW BRAUNFELS RURAL HEALTH CLINIC,510 EAST COURT STREET,NOT AVAILABLE,SEGUIN,TX,78155,5712,GUADALUPE,48187,LOCATED ON THE NORTH SIDE OF EAST COURT STREET BETWEEN NORTH ERSKINE STREET AND NORTH SAN MARCOS STREET,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,103637298,-97.9605211,29.5692495,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,671GL,1093,3/31/2007 0:00,17,1,C,671,A,2/1/2001 0:00,N/A,1,NO,NO,NO,NO,NO,NO,NO,CD115_TX_4815,CBOC,NW0097961015_0029569137,41700,80497,RA,10315889,(210) 641-4273,NO,(830) 629-3614
-9856524.648,4736559.091,33,EFFINGHAM VETERANS AFFAIRS CLINIC,1901 SOUTH 4TH STREET,SUITE 21,EFFINGHAM,IL,62401,4162,EFFINGHAM,17049,LOCATED ON THE WEST SIDE OF SOUTH 4TH STREET DIRECTLY ACROSS FROM EAST HENDELMEYER AVENUE,9/26/2007 0:00,PHONE,9/26/2007 0:00,MANUAL,62149,OTHER OUTPATIENT CARE CENTERS,123050292,-88.5426674,39.1038567,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,550GE,690,3/31/2007 0:00,11,1,L,550,A,9/20/1999 0:00,657GM,1,NO,NO,NO,NO,NO,NO,NO,CD115_IL_1715,CBOC,NW0088542476_0039104955,20820,26308,RA,10315478,(217) 342-9733,YES,(217) 347-7600
-13126392.06,4005119.502,34,ANAHEIM VETERANS CENTER,859 SOUTH HARBOR BOULEVARD,NOT AVAILABLE,ANAHEIM,CA,92805,5157,ORANGE,6059,SW SIDE OF SOUTH HARBOR BOULEVARD BETWEEN WEST SOUTH STREET AND WEST HAMPSHIRE AVENUE,9/27/2007 0:00,PHONE,9/27/2007 0:00,MANUAL,622110,GENERAL MEDICAL AND SURGICAL HOSPITALS,128785046,-117.9163861,33.8234445,NAVTEQ,2006Q4,BLOCKFACE,YES,TGS,0624V,974,3/31/2007 0:00,22,1,L,600,-,,N/A,0,NO,NO,NO,NO,YES,NO,NO,CD115_CA_0646,VCTR,NW0117916192_0033823469,31100,51445,UA,10315193,(714) 776-8904,NO,(714) 776-0161
